Feature,Importance
V14,0.1954736784627462
V4,0.1350119226741685
V10,0.12460951285826188
V12,0.08224850415677626
V17,0.05868404824944075
V3,0.052765408945628735
V11,0.04579112645715968
V16,0.045540171417520495
V7,0.033827005790489945
V27,0.02330868090105141
V2,0.017666621963132893
V9,0.015993153485322983
V21,0.015921349768640573
V18,0.015609088835657219
V8,0.01484385573748119
V19,0.011495014250736372
V1,0.011275178640018453
V20,0.008909766826199286
V6,0.008753512673454962
Scaled_Amount,0.008648907602182992
V5,0.00855045812284321
V13,0.008535905437498704
Hour,0.008040358652898948
V26,0.00792772514689237
V28,0.007106070808216188
V25,0.005301917218176063
V15,0.005220795637624748
V24,0.005196496561061195
V22,0.005055212675316773
V23,0.004511137354442884
Time_Period_Afternoon,0.0033678436915119416
Time_Period_Evening,0.0030425506820110264
Time_Period_Morning,0.0017670183154352198
